analysis_set,study,sample_id,Activated T cells,Alveolar macrophages,Alveolar type I cells,Alveolar type II cells,Basophils,CD4+ memory T cells,CD8+ effector T cells,Ciliated cells,Classical monocytes,Club cells,Endothelial tip cells,Follicular B cells,Goblet cells,Mast cells,Myofibroblasts,Neutrophils,Non-classical monocytes,Pericytes,Plasma cells,Smooth muscle cells,Vascular endothelial cells
all_study_diagnostic,GSE159354,GSM4827200,0.0,0.000328515111695138,0.018396846254927726,0.2871222076215506,0.0,0.13961892247043364,0.0032851511169513796,0.010840998685939553,0.008541392904073587,0.011169513797634692,0.020696452036793694,0.0,0.0,0.024967148488830485,0.09329829172141918,0.0,0.3173455978975033,0.0,0.04566360052562418,0.005256241787122208,0.013469119579500657
all_study_diagnostic,GSE171524,GSM5226574,0.0019752199676782187,0.10432752738373137,0.14850062847908063,0.13359669599569043,0.0249595977733884,0.24923684683066977,0.0,0.05369007003052613,0.0001795654516071108,0.03357873945052972,0.0,0.007003052612677321,0.0,0.0,0.13341713054408333,0.0,0.0,0.0,0.00897827258035554,0.0,0.10055665289998204
all_study_diagnostic,GSE171524,GSM5226575,0.000484027105517909,0.12826718296224587,0.22579864472410455,0.4443368828654405,0.004598257502420136,0.029283639883833496,0.0,0.0007260406582768635,0.0,0.0012100677637947724,0.0,0.0016940948693126815,0.0012100677637947724,0.0,0.08591481122942884,0.0,0.000968054211035818,0.0,0.0,0.0,0.0755082284607938
all_study_diagnostic,GSE171524,GSM5226576,0.00032030749519538755,0.1905829596412556,0.04356181934657271,0.08888532991672005,0.009128763613068545,0.13965406790518897,0.0,0.10345932094811018,0.0,0.04356181934657271,0.0,0.13004484304932734,0.0,0.0,0.14590006406149905,0.0,0.0008007687379884689,0.00032030749519538755,0.04147982062780269,0.0,0.062299807815502886
all_study_diagnostic,GSE171524,GSM5226577,0.0008068854222700376,0.15922538999462077,0.1659494351802044,0.31145777299623456,0.020710059171597635,0.11403980634749865,0.0,0.0008068854222700376,0.0,0.0032275416890801506,0.0,0.004034427111350188,0.0,0.0,0.171059709521248,0.0,0.0,0.00026896180742334586,0.006186121570736955,0.0,0.0422270037654653
all_study_diagnostic,GSE171524,GSM5226578,0.0,0.18320775026910657,0.10570505920344457,0.30269106566200216,0.0038751345532831,0.05468245425188375,0.0,0.02411194833153929,0.0,0.02604951560818084,0.0,0.023466092572658772,0.0,0.0,0.17115177610333693,0.0,0.00021528525296017224,0.0,0.04413347685683531,0.0,0.06071044133476857
all_study_diagnostic,GSE171524,GSM5226579,0.0,0.1414141414141414,0.0016835016835016834,0.030303030303030304,0.003647586980920314,0.03956228956228956,0.0,0.0,0.0,0.05078563411896745,0.0,0.002244668911335578,0.5157126823793491,0.0,0.15432098765432098,0.0,0.0,0.0,0.0457351290684624,0.0,0.014590347923681257
all_study_diagnostic,GSE171524,GSM5226580,0.0002346866932644919,0.10795587890166627,0.2724712508800751,0.3022764609246656,0.022060549166862238,0.036376437455996245,0.0,0.02088711570053978,0.0,0.030274583431119457,0.0,0.0014081201595869514,0.0004693733865289838,0.0,0.1253226942032387,0.0,0.0,0.0,0.0032856137057028865,0.0,0.07697723539075334
all_study_diagnostic,GSE173896,GSM5282543,0.00510204081632653,0.00510204081632653,0.03826530612244898,0.1326530612244898,0.02295918367346939,0.2193877551020408,0.09693877551020408,0.0,0.0,0.058673469387755105,0.002551020408163265,0.002551020408163265,0.0,0.015306122448979591,0.01020408163265306,0.03826530612244898,0.12755102040816327,0.02806122448979592,0.002551020408163265,0.0,0.19387755102040816
all_study_diagnostic,GSE173896,GSM5282544,0.05387205387205387,0.0014964459408903852,0.013655069210624766,0.004676393565282455,0.034418256640478866,0.418443696221474,0.04470632248410026,0.002618780396558174,0.00018705574261129816,0.02244668911335578,0.018518518518518517,0.0,0.0,0.0,0.041900486344930786,0.033295922184811075,0.11728395061728394,0.013093901982790871,0.00823045267489712,0.00205761316872428,0.16909839132061355
all_study_diagnostic,GSE173896,GSM5282545,0.04391749684299144,0.0026659183387119406,0.020485477760628597,0.04532061175810299,0.02539637996351901,0.27192367054861794,0.07450540199242318,0.005472148168935036,0.001122491932089238,0.016556755998316262,0.019503297320050513,0.0,0.0,0.0,0.03171039708152098,0.025957625929563632,0.2047144661147748,0.025817314438052477,0.00855900098218044,0.0025256068472007858,0.17384593798232076
all_study_diagnostic,GSE173896,GSM5282546,0.022571148184494603,0.0026169447170428526,0.021262675825973177,0.03434739941118744,0.07131174353941773,0.2538436375531567,0.2636571802420674,0.006542361792607131,0.0009813542688910696,0.00850507033038927,0.005888125613346418,0.0,0.0,0.00032711808963035657,0.053974484789008834,0.003598298985933922,0.10271508014393196,0.005888125613346418,0.014393195943735688,0.002944062806673209,0.12463199214916584
all_study_diagnostic,GSE173896,GSM5282547,0.033913234970270864,0.0004404316229905307,0.025324818321955517,0.05703589517727373,0.020700286280554942,0.16251926888350585,0.17330984364677385,0.0026425897379431843,0.00022021581149526536,0.06430301695661748,0.011671438009249064,0.0,0.0,0.0006606474344857961,0.12089848051090069,0.0041841004184100415,0.10262056815679366,0.020259854657564413,0.012111869632239595,0.0028628055494384495,0.1843206342215371
all_study_diagnostic,GSE173896,GSM5282548,0.04284471509351892,0.0026098303610265334,0.008481948673336234,0.02435841670291431,0.024140930839495433,0.2122662026968247,0.13723357981731188,0.012396694214876033,0.00043497172683775554,0.0861244019138756,0.014136581122227055,0.0,0.0,0.0,0.048934319269247496,0.02218355806872553,0.1213571117877338,0.017181383210091345,0.006524575902566333,0.001087429317094389,0.21770334928229665
all_study_diagnostic,GSE227691,GSM7105661,0.07288246881155613,0.00032829940906106366,0.003447143795141169,0.000984898227183191,0.00016414970453053183,0.0014773473407747866,0.7396585686145765,0.0026263952724885093,0.0004924491135915955,0.00804333552199606,0.02232435981615233,0.0,0.0,0.00016414970453053183,0.00016414970453053183,0.00032829940906106366,0.14560078791858175,0.0,0.001149047931713723,0.0,0.00016414970453053183
all_study_diagnostic,GSE227691,GSM7105662,0.07746863066012002,0.0016366612111292963,0.0010911074740861974,0.006546644844517185,0.0,0.0016366612111292963,0.45444626295690127,0.03764320785597381,0.0010911074740861974,0.05237315875613748,0.015275504637206765,0.0,0.0,0.0,0.002727768685215494,0.0,0.3404255319148936,0.0005455537370430987,0.002727768685215494,0.0,0.00436442989634479
all_study_diagnostic,GSE227691,GSM7105663,0.11373092926490985,0.0018492834026814608,0.0009246417013407304,0.0106333795654184,0.0,0.005547850208044383,0.7133610725843735,0.0009246417013407304,0.0027739251040221915,0.018030513176144243,0.03975959315765141,0.0004623208506703652,0.0,0.0,0.0,0.0,0.08876560332871013,0.0,0.0013869625520110957,0.0,0.0018492834026814608
all_study_diagnostic,GSE227691,GSM7105664,0.02006375398462404,0.001125070316894806,0.0018751171948246765,0.0127507969248078,0.0003750234389649353,0.002812675792237015,0.7095443465216577,0.017063566472904558,0.0009375585974123383,0.029064316519782488,0.014063378961185074,0.0,0.0,0.0003750234389649353,0.00018751171948246765,0.00018751171948246765,0.18769923120195012,0.0,0.001687605475342209,0.0,0.00018751171948246765
